DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-06-04 18:01:31.741,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.71,137,netbios-ns
2016-06-04 18:31:30.994,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,49930,,104.244.43.103,443,https
2016-06-04 18:31:32.127,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.103,137,netbios-ns
2016-06-04 19:01:31.029,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,49953,,104.244.43.199,443,https
2016-06-04 19:01:32.076,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.199,137,netbios-ns
2016-06-04 20:01:31.105,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50061,,104.244.43.167,443,https
2016-06-04 20:01:32.119,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.167,137,netbios-ns
2016-06-04 21:01:31.130,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50118,,104.244.43.7,443,https
2016-06-04 21:01:32.180,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.7,137,netbios-ns
2016-06-04 21:46:31.205,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50159,,a104-101-178-203.deploy.static.akamaitechnologies.com,80,http
2016-06-04 22:10:40.731,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50188,,157.56.77.139,443,https
2016-06-04 22:10:41.524,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,157.56.77.139,137,netbios-ns
2016-06-04 22:16:31.347,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50203,,a184-87-220-86.deploy.static.akamaitechnologies.com,80,http
2016-06-04 23:16:31.879,C:\Windows\System32\backgroundTaskHost.exe,,tcp,local,50252,,a23-38-7-222.deploy.static.akamaitechnologies.com,443,https
2016-06-05 00:16:31.631,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50321,,a23-35-118-135.deploy.static.akamaitechnologies.com,80,http
2016-06-05 00:16:44.076,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50325,,131.253.61.68,443,https
2016-06-05 00:16:44.992,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.68,137,netbios-ns
2016-06-05 00:31:45.058,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50336,,131.253.61.96,443,https
2016-06-05 00:31:45.894,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.96,137,netbios-ns
2016-06-05 01:01:31.281,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50362,,a104-81-56-247.deploy.static.akamaitechnologies.com,80,http
2016-06-05 01:01:31.480,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50365,,a104-81-56-247.deploy.static.akamaitechnologies.com,443,https
2016-06-05 01:46:40.064,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50443,,a104-69-55-114.deploy.static.akamaitechnologies.com,80,http
2016-06-05 01:46:40.713,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50446,,191.234.72.186,443,https
2016-06-05 01:46:40.989,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,191.234.72.186,137,netbios-ns
2016-06-05 01:46:43.943,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50452,,131.253.61.84,443,https
2016-06-05 01:46:44.050,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.84,137,netbios-ns
2016-06-05 01:46:44.616,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50455,,134.170.179.87,443,https
2016-06-05 01:46:45.030,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,134.170.179.87,137,netbios-ns
2016-06-05 05:05:25.804,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50615,,131.253.61.84,80,http
2016-06-05 05:05:27.571,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50621,,msnbot-191-232-139-2.search.msn.com,443,https
2016-06-05 10:16:31.582,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50868,,a92-122-51-57.deploy.akamaitechnologies.com,80,http
2016-06-05 10:58:08.532,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50912,,db5sch101100928.wns.windows.com,443,https
2016-06-05 11:22:59.985,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50972,,msnbot-191-232-139-49.search.msn.com,443,https
2016-06-05 11:23:58.660,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,50984,,msnbot-191-232-139-141.search.msn.com,443,https
2016-06-05 12:00:18.381,C:\Windows\System32\backgroundTaskHost.exe,,tcp,local,51059,,msnbot-207-46-194-14.search.msn.com,80,http
2016-06-05 12:00:31.823,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,51060,,131.253.61.84,80,http
