HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
109,1,,,,
activity.windows.com,29,,,,
array407-prod.do.dsp.mp.microsoft.com,1,,,,
ars.smartscreen.microsoft.com,13,,,,
au.download.windowsupdate.com,3,,,,
blob.weather.microsoft.com,3,,,,
candycrushsoda.king.com,4,,,,
cdn.content.prod.cms.msn.com,16,,,,
cdn.onenote.net,6,,,,
cdp1.public-trust.com,5,,,,
client.wns.windows.com,28,,,,
continuum.dds.microsoft.com,10,,,,
cp401-prod.do.dsp.mp.microsoft.com,10,,,,
crl.verisign.com,5,,,,
db5.wns.windows.com,5,,,,
db5sch101101237.wns.windows.com,1,,,,
db5sch101101427.wns.windows.com,1,,,,
db5sch101101837.wns.windows.com,1,,,,
db5sch101102017.wns.windows.com,1,,,,
db5sch101110634.wns.windows.com,1,,,,
db5sch103082712.wns.windows.com,1,,,,
db5sch103090906.wns.windows.com,1,,,,
db5sch103091908.wns.windows.com,1,,,,
db5sch103092109.wns.windows.com,1,,,,
db5sch103092209.wns.windows.com,1,,,,
db5sch103100221.wns.windows.com,1,,,,
db5sch103100511.wns.windows.com,1,,,,
db5sch103101611.wns.windows.com,1,,,,
db5sch103101711.wns.windows.com,1,,,,
db5sch103102009.wns.windows.com,1,,,,
db5sch103102404.wns.windows.com,1,,,,
db6sch102090211.wns.windows.com,2,,,,
db6sch102090306.wns.windows.com,1,,,,
db6sch102090412.wns.windows.com,1,,,,
db6sch102090810.wns.windows.com,2,,,,
db6sch102090905.wns.windows.com,1,,,,
db6sch102091209.wns.windows.com,1,,,,
db6sch102091412.wns.windows.com,1,,,,
disc401-prod.do.dsp.mp.microsoft.com,2,,,,
displaycatalog.mp.microsoft.com,4200,,,,
dmd.metaservices.microsoft.com,7,,,,
download.microsoft.com,10,,,,
download.windowsupdate.com,51,,,,
emdl.ws.microsoft.com,2,,,,
fe2.update.microsoft.com,359,,,,
fe3.delivery.mp.microsoft.com,68,,,,
fg.ds.b1.download.windowsupdate.com,1,,,,
fs.microsoft.com,10,,,,
g.live.com,186,,,,
geo-prod.do.dsp.mp.microsoft.com,4,,,,
geover-prod.do.dsp.mp.microsoft.com,10,,,,
go.microsoft.com,17,,,,
img-s-msn-com.akamaized.net,3,,,,
inference.location.live.net,72,,,,
kv401-prod.do.dsp.mp.microsoft.com,4,,,,
licensing.mp.microsoft.com,78,,,,
login.live.com,286,,,,
ls2web.redmond.corp.microsoft.com,4,,,,
mediaredirect.microsoft.com,29,,,,
ocsp.comodoca.com,20,,,,
ocsp.digicert.com,16,,,,
ocsp.msocsp.com,107,,,,
ocsp.usertrust.com,70,,,,
ocsp.verisign.com,10,,,,
oem.twimg.com,6,,,,
oneclient.sfx.ms,188,,,,
pbs.twimg.com,3,,,,
pti.store.microsoft.com,2,,,,
register.cdpcs.microsoft.com,6,,,,
settings-win-ppe.data.microsoft.com,28,,,,
settings-win.data.microsoft.com,1469,,,,
sls.update.microsoft.com,201,,,,
storage.live.com,10,,,,
store-images.s-microsoft.com,1,,,,
storecatalogrevocation.storequality.microsoft.com,26,,,,
sway-cdn.com,4,,,,
telecommand.telemetry.microsoft.com,26,,,,
tile-service.weather.microsoft.com,6,,,,
time.windows.com,73,,,,
tsfe.trafficshaping.dsp.mp.microsoft.com,1,,,,
v10.vortex-win.data.microsoft.com,214,,,,
watson.telemetry.microsoft.com,20,,,,
wdcp.microsoft.com,24,,,,
wdcpalt.microsoft.com,10,,,,
win10.ipv6.microsoft.com,6325,,,,
win1710.ipv6.microsoft.com,8,,,,
wscont.apps.microsoft.com,5,,,,
www.msftconnecttest.com,90,,,,
