DATE,EXE,PID,ACCOUNT,HOST,ORGANIZATION,COUNTRY
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,settings-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:16:51,svchost.exe,1352,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:17:04,svchost.exe,960,System,win10.ipv6.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:17:18,svchost.exe,960,System,pbs.twimg.com,Twitter Inc. (TWITT),US
2016.06.07 00:20:38,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:38,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:38,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:39,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:39,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:39,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:42,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:42,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:42,svchost.exe,1304,System,v10.vortex-win.data.microsoft.com,Microsoft Corporation (MSFT),US
2016.06.07 00:20:44,svchost.exe,804,System,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
2016.06.07 00:20:44,svchost.exe,804,,fe2.update.microsoft.com,Microsoft Corp (MSFT-Z),US
