DATE,PROCESS,PROTOCOL,DEST_IP,DEST_PORT,DEST_PORT_NAME,ORGANIZATION,COUNTRY
2016-07-24 19:50:26.931,C:\Windows\System32\svchost.exe,udp,224.0.0.252,5355,llmnr,,
2016-07-24 19:56:16.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 19:56:16.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 20:13:42.871,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 20:13:42.952,C:\Windows\System32\svchost.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 20:13:42.981,C:\Windows\System32\svchost.exe,tcp,191.232.139.253,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 20:13:43.864,C:\Windows\System32\svchost.exe,udp,224.0.0.252,5355,llmnr,,
2016-07-24 20:18:28.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 20:18:28.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 20:40:40.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 20:40:40.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 20:44:19.854,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 20:44:19.935,C:\Windows\System32\svchost.exe,tcp,a184-50-171-168.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 20:58:42.981,C:\Windows\System32\svchost.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 20:58:43.016,C:\Windows\System32\svchost.exe,tcp,191.232.139.253,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 21:02:52.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:02:52.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:25:04.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:25:04.221,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:28:56.475,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-207-46-194-14.search.msn.com,80,http,Microsoft Corporation (MSFT),US
2016-07-24 21:28:56.882,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 21:28:56.957,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,443,https,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 21:28:57.073,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-38-13-199.deploy.static.akamaitechnologies.com,443,https,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 21:29:02.059,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 21:29:07.115,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-207-46-194-14.search.msn.com,80,http,Microsoft Corporation (MSFT),US
2016-07-24 21:30:15.924,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a88-221-144-202.deploy.akamaitechnologies.com,80,http,Akamai Technologies,IT
2016-07-24 21:30:16.159,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.251,443,https,AS8075 Microsoft Corporation,US
2016-07-24 21:30:36.321,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.253.82.94,80,http,AS3356 Level 3 Communications. Inc.,US
2016-07-24 21:30:36.340,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.254.218.158,80,http,AS3356 Level 3 Communications. Inc.,US
2016-07-24 21:32:31.935,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-24 21:32:33.759,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 21:32:33.809,C:\Windows\System32\svchost.exe,udp,224.0.0.252,5355,llmnr,,
2016-07-24 21:32:34.191,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-24 21:32:34.649,System,udp,239.255.255.250,137,netbios-ns,,
2016-07-24 21:32:37.189,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 21:32:37.278,C:\Windows\Sysmon.exe,tcp,a23-54-139-27.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 21:32:37.294,C:\Windows\System32\svchost.exe,tcp,191.232.139.253,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 21:33:01.789,C:\Windows\System32\svchost.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 21:33:34.183,C:\Windows\EOONotify\EOONotify.exe,tcp,msnbot-207-46-194-14.search.msn.com,80,http,Microsoft Corporation (MSFT),US
2016-07-24 21:33:36.624,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,93.184.220.29,80,http,AS15133 EdgeCast Networks. Inc.,US
2016-07-24 21:33:42.744,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:33:42.744,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:33:42.780,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-24 21:33:42.780,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-24 21:38:31.619,C:\Windows\System32\svchost.exe,udp,40.118.103.7,123,ntp,AS8075 Microsoft Corporation,NL
2016-07-24 21:44:37.991,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-38-11-168.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-24 21:53:43.714,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 21:53:43.714,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 22:10:43.524,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 22:10:43.524,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 22:17:31.745,C:\Windows\System32\svchost.exe,udp,255.255.255.255,67,bootps,,
2016-07-24 22:17:31.821,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.253,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 22:17:31.825,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-24 22:32:55.524,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 22:32:55.524,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-24 22:53:53.854,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
