HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
2.20.202.119,162,AS16625 Akamai Technologies. Inc.,,2017-09-25,c.s-microsoft.com
,,,,2017-09-25,i.s-microsoft.com
,,,,2017-09-06,www.microsoft.com
2.21.242.203,10,AS20940 Akamai International B.V.,NL,2018-01-12,a.ligatus.com
,,,,2017-09-29,postfiles11.naver.net
,,,,2017-09-29,wix-instantsearchplus-ssl.akamaized.net
,,,,2017-09-20,us.media.blizzard.com
,,,,2017-09-19,i.dailymail.co.uk
2.22.119.40,10,AS20940 Akamai International B.V.,GB,,
8.248.245.254,14,AS3356 Level 3 Communications. Inc.,US,2017-12-25,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-29,dl.delivery.mp.microsoft.com
,,,,2017-09-08,3.download.windowsupdate.com
8.248.247.254,19,AS3356 Level 3 Communications. Inc.,US,2017-11-07,dl.delivery.mp.microsoft.com
,,,,2017-09-09,level3.blizzard.com
,,,,2017-09-07,au.download.windowsupdate.com
,,,,2017-09-07,tlu.dl.delivery.mp.microsoft.com
,,,,2017-09-06,3.download.windowsupdate.com
8.250.1.254,3484,AS3356 Level 3 Communications. Inc.,US,2017-11-08,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-08,level3.blizzard.com
,,,,2017-10-06,i49.tinypic.com
,,,,2017-10-06,i29.tinypic.com
,,,,2017-09-21,3.download.windowsupdate.com
,,,,2017-09-18,i56.tinypic.com
,,,,2017-09-18,i67.tinypic.com
,,,,2017-09-18,i51.tinypic.com
8.250.155.254,15,AS3356 Level 3 Communications. Inc.,US,2017-10-28,aljazeera-mubasher-apple-live.adaptive.level3.net
,,,,2017-10-27,wsus.ds.download.windowsupdate.com
,,,,2017-10-26,dl.delivery.mp.microsoft.com
,,,,2017-10-25,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-23,au.b1.download.windowsupdate.com
,,,,2017-10-11,www.extra.ec
,,,,2017-09-08,au.download.windowsupdate.com
,,,,2017-09-07,3.download.windowsupdate.com
,,,,2017-09-07,gruporemux-live.hls.adaptive.level3.net
8.253.93.237,5866,AS3356 Level 3 Communications. Inc.,US,2017-12-17,hlsevent-l3c.med2.foxsportsgo.com
,,,,2017-12-11,cdn-files.deezer.com
,,,,2017-10-20,ccma-tva-int-abertis-live.hls.adaptive.level3.net
,,,,2017-10-20,i29.tinypic.com
,,,,2017-10-20,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-11,au.b1.download.windowsupdate.com
,,,,2017-10-06,i56.tinypic.com
,,,,2017-10-04,2-01-330e-0014.cdx.cedexis.net
,,,,2017-10-04,assets.funnygames.biz
,,,,2017-10-04,i49.tinypic.com
,,,,2017-09-29,static.spele.nl
,,,,2017-09-20,i51.tinypic.com
,,,,2017-09-19,level3.blizzard.com
,,,,2017-09-10,i67.tinypic.com
,,,,2017-09-09,3.download.windowsupdate.com
,,,,2017-09-09,au.download.windowsupdate.com
8.253.93.248,16,AS3356 Level 3 Communications. Inc.,US,2017-11-09,cdn-files.deezer.com
,,,,2017-11-05,hlsevent-l3c.med2.foxsportsgo.com
,,,,2017-11-02,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-31,i29.tinypic.com
,,,,2017-10-21,ccma-tva-int-abertis-live.hls.adaptive.level3.net
,,,,2017-10-14,i51.tinypic.com
,,,,2017-10-10,level3.blizzard.com
,,,,2017-10-06,i56.tinypic.com
,,,,2017-10-05,3.download.windowsupdate.com
,,,,2017-10-04,2-01-330e-0014.cdx.cedexis.net
,,,,2017-10-04,i49.tinypic.com
,,,,2017-09-20,i67.tinypic.com
,,,,2017-01-05,fotografias.nova.atresmedia.com
13.107.4.50,12622,AS8068 Microsoft Corporation,US,2018-01-14,dnste-net-dyxmwn68.c-0001.c-msedge.net
,,,,2018-01-14,5.perf.msedge.net
,,,,2018-01-13,fg.ds.download.windowsupdate.com
,,,,2018-01-12,b1w7dl.c-0001.c-msedge.net
,,,,2018-01-11,au.v4.b1.download.windowsupdate.com
,,,,2018-01-11,b1fgds.c-0005.c-msedge.net
,,,,2018-01-11,b1w7dl.au-msedge.net
,,,,2018-01-10,fg.ds.b1.dl.windowsupdate.com.nsatc.net
,,,,2018-01-10,b1fgv4.au-msedge.net
,,,,2018-01-10,b1.download.windowsupdate.com
,,,,2018-01-09,b1w8au.au-msedge.net
