DATE,EXE,PID,ACCOUNT,HOST,ORGANIZATION,COUNTRY
2017-10-27 02:34:32,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.189,443,https,AS8075 Microsoft Corporation,US
2017-10-27 02:52:53,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.250.1.254,80,http,AS3356 Level 3 Communications. Inc.,US
2017-10-28 00:19:34,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.96.123,443,https,AS8075 Microsoft Corporation,US
2017-10-28 01:37:14,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.157,443,https,AS8075 Microsoft Corporation,US
2017-10-29 09:01:02,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a173-223-106-227.deploy.static.akamaitechnologies.com,80,http,,
2017-10-29 21:15:54,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.234.72.183,443,https,AS8075 Microsoft Corporation,US
2017-10-30 16:35:12,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.158,443,https,AS8075 Microsoft Corporation,US
2017-10-31 10:47:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.250.141.254,80,http,AS3356 Level 3 Communications. Inc.,US
2017-10-31 10:47:56,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a88-221-254-203.deploy.akamaitechnologies.com,80,http,,
2017-10-31 14:00:48,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a88-221-254-179.deploy.akamaitechnologies.com,80,http,,
2017-11-01 04:10:37,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a92-122-180-80.deploy.akamaitechnologies.com,80,http,,
2017-11-01 21:26:52,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.21.242.213,80,http,AS20940 Akamai International B.V.,NL
2017-11-02 21:56:45,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.51.246,443,https,AS8075 Microsoft Corporation,US
2017-11-02 21:59:05,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,69.16.164.32,80,http,AS20446 Highwinds Network Group. Inc.,US
2017-11-03 01:30:51,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.21.131.31,80,http,AS1299 Telia Company AB,EU
2017-11-05 00:00:25,C:\Windows\System32\svchost.exe,udp,52.178.161.41,123,ntp,AS8075 Microsoft Corporation,IE
2017-11-05 02:26:47,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,104.17.102.175,80,http,AS13335 Cloudflare. Inc.,US
2017-11-05 03:51:02,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.163.222,443,https,AS8075 Microsoft Corporation,US
2017-11-06 02:11:41,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a92-122-202-83.deploy.akamaitechnologies.com,80,http,,
2017-11-06 02:11:41,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.138.148.159,80,http,AS8075 Microsoft Corporation,IE
2017-11-07 21:56:17,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.250.23.254,80,http,AS3356 Level 3 Communications. Inc.,US
2017-11-08 12:00:58,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a92-122-201-162.deploy.akamaitechnologies.com,80,http,,
2017-11-09 02:17:25,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,64.4.54.254,443,https,AS8075 Microsoft Corporation,US
2017-11-10 03:51:09,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,93.184.221.240,80,http,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US
2017-11-10 21:01:01,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a104-89-7-92.deploy.static.akamaitechnologies.com,80,http,,
2017-11-13 03:51:12,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.157,443,https,AS8075 Microsoft Corporation,US
2017-11-14 02:56:56,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,104.17.105.175,80,http,AS13335 Cloudflare. Inc.,US
2017-11-14 18:27:46,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.22.22.184,80,http,AS20940 Akamai International B.V.,EU
2017-11-14 18:27:52,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.253.93.228,80,http,AS3356 Level 3 Communications. Inc.,US
2017-11-14 18:29:59,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,68.232.34.240,80,http,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US
2017-11-14 18:29:59,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.22.22.114,80,http,AS20940 Akamai International B.V.,EU
