DATE,EXE,PROTOCOL,HOST,PORT,PORT_NAME,ORGANIZATION,COUNTRY
2018-04-11 02:02:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.237.143,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-11 02:02:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,ocsp.comodoca.com,80,http,,
2018-04-11 02:06:15,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.178.163.85,443,https,AS8075 Microsoft Corporation,IE
2018-04-11 03:06:54,C:\Windows\System32\svchost.exe,udp,51.141.32.51,123,ntp,AS8075 Microsoft Corporation,GB
2018-04-11 07:55:39,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.68.93.109,443,https,AS8075 Microsoft Corporation,US
2018-04-12 03:57:38,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.158,443,https,AS8075 Microsoft Corporation,US
2018-04-13 01:44:13,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.157,443,https,AS8075 Microsoft Corporation,US
2018-04-13 01:44:15,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.242.254,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:12:57,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.64,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:20:29,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.96.123,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.86,80,http,AS8075 Microsoft Corporation,US
2018-04-13 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.86,443,https,AS8075 Microsoft Corporation,US
2018-04-14 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.64,80,http,AS8075 Microsoft Corporation,US
2018-04-14 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.64,443,https,AS8075 Microsoft Corporation,US
2018-04-14 22:47:57,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.189,443,https,AS8075 Microsoft Corporation,US
2018-04-15 15:22:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-251-159.lcy.llnw.net,80,http,,
2018-04-15 15:22:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds21207.lon.llnw.net,80,http,,
2018-04-15 15:37:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.163.221,443,https,AS8075 Microsoft Corporation,US
2018-04-15 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.98,80,http,AS8075 Microsoft Corporation,US
2018-04-15 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.98,443,https,AS8075 Microsoft Corporation,US
2018-04-16 11:05:10,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.118,443,https,AS8075 Microsoft Corporation,US
2018-04-16 22:49:35,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.121,443,https,AS8075 Microsoft Corporation,US
2018-04-18 00:57:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.78.184.44,80,http,AS8075 Microsoft Corporation,US
2018-04-18 23:02:44,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.249,443,https,AS8075 Microsoft Corporation,US
2018-04-19 18:54:51,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.251,443,https,AS8075 Microsoft Corporation,US
2018-04-19 18:57:48,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-232-41.dus.llnw.net,80,http,,
2018-04-19 18:57:48,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds1310.lon.llnw.net,80,http,,
2018-04-19 22:13:07,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.86,443,https,AS8075 Microsoft Corporation,US
2018-04-19 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.102,80,http,AS8075 Microsoft Corporation,US
2018-04-19 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.102,443,https,AS8075 Microsoft Corporation,US
2018-04-20 02:03:12,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.138.148.89,80,http,AS8075 Microsoft Corporation,IE
2018-04-20 14:24:28,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-95-140-225-11.toj.llnw.net,80,http,,
2018-04-20 14:24:28,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds815.lon.llnw.net,80,http,,
2018-04-20 14:24:29,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds421.lcy.llnw.net,80,http,,
2018-04-20 14:24:32,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds857.lon.llnw.net,80,http,,
2018-04-20 22:22:58,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,51.144.108.120,443,https,AS8075 Microsoft Corporation,NL
2018-04-21 09:43:28,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.115.62,443,https,AS8075 Microsoft Corporation,US
2018-04-22 22:13:09,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.98,443,https,AS8075 Microsoft Corporation,US
2018-04-22 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.82,80,http,AS8075 Microsoft Corporation,US
2018-04-22 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.82,443,https,AS8075 Microsoft Corporation,US
2018-04-23 20:42:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.80.62,443,https,AS8075 Microsoft Corporation,US
2018-04-23 20:43:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-208-129.ams.llnw.net,80,http,,
2018-04-23 20:43:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds868.lon.llnw.net,80,http,,
2018-04-23 22:22:57,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,51.136.15.177,443,https,AS8075 Microsoft Corporation,NL
2018-04-24 00:17:05,C:\Windows\System32\svchost.exe,udp,52.178.161.41,123,ntp,AS8075 Microsoft Corporation,IE
2018-04-24 16:18:05,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.157,443,https,AS8075 Microsoft Corporation,US
2018-04-25 03:51:55,C:\Windows\System32\svchost.exe,udp,52.166.120.77,123,ntp,AS8075 Microsoft Corporation,NL
2018-04-25 03:54:22,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,51.136.37.147,443,https,AS8075 Microsoft Corporation,NL
2018-04-25 22:13:21,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.82,443,https,AS8075 Microsoft Corporation,US
2018-04-26 11:03:31,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.163.222,443,https,AS8075 Microsoft Corporation,US
2018-04-26 11:03:37,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.248.239.254,80,http,AS3356 Level 3 Parent. LLC,US
2018-04-28 03:29:16,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-95-140-228-56.arn1.llnw.net,80,http,,
2018-04-28 03:29:16,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds20416.lcy.llnw.net,80,http,,
2018-04-28 21:35:38,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-251-34.lcy.llnw.net,80,http,,
2018-04-28 21:35:38,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds836.lon.llnw.net,80,http,,
2018-04-29 16:18:08,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds422.lcy.llnw.net,80,http,,
2018-04-30 11:49:14,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds21249.lon.llnw.net,80,http,,
2018-05-01 07:20:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds493.lcy.llnw.net,80,http,,
2018-05-02 00:51:39,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.253,443,https,AS8075 Microsoft Corporation,US
2018-05-02 18:49:42,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-232-189.dus.llnw.net,80,http,,
2018-05-02 18:49:42,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds1307.lon.llnw.net,80,http,,
2018-05-02 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.70,80,http,AS8075 Microsoft Corporation,US
2018-05-02 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.70,443,https,AS8075 Microsoft Corporation,US
2018-05-03 14:36:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds21205.lon.llnw.net,80,http,,
2018-05-03 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.66,80,http,AS8075 Microsoft Corporation,US
2018-05-03 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.66,443,https,AS8075 Microsoft Corporation,US
2018-05-04 02:06:50,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.138.148.159,80,http,AS8075 Microsoft Corporation,IE
2018-05-04 09:18:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-87-248-217-139.lon.llnw.net,80,http,,
2018-05-04 09:18:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds20485.lcy.llnw.net,80,http,,
2018-05-04 22:13:33,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.80,443,https,AS8075 Microsoft Corporation,US
