HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
2.18.236.37,8,AS16625 Akamai Technologies. Inc.,EU,,
2.18.237.129,4,AS16625 Akamai Technologies. Inc.,EU,2017-11-28,tile-service.weather.microsoft.com
2.18.245.80,4,AS20940 Akamai International B.V.,EU,2017-09-25,foodanddrink.services.appex.bing.com
23.65.201.141,8,AS20940 Akamai International B.V.,NL,,
23.200.165.106,48,AS20940 Akamai International B.V.,NL,,
23.223.219.113,8,AS16625 Akamai Technologies. Inc.,NL,,
000498-1.l.windowsupdate.com,5,,,,
000589-1.l.windowsupdate.com,5,,,,
000b62-1.l.windowsupdate.com,5,,,,
001056-1.l.windowsupdate.com,5,,,,
001173-1.l.windowsupdate.com,5,,,,
0011da-1.l.windowsupdate.com,5,,,,
00123a-1.l.windowsupdate.com,5,,,,
001a43-1.l.windowsupdate.com,5,,,,
001e03-1.l.windowsupdate.com,5,,,,
002012-1.l.windowsupdate.com,5,,,,
00210c-1.l.windowsupdate.com,5,,,,
00210e-1.l.windowsupdate.com,5,,,,
0021ff-1.l.windowsupdate.com,5,,,,
0023c5-1.l.windowsupdate.com,5,,,,
0023df-1.l.windowsupdate.com,5,,,,
au.download.windowsupdate.com,424,,,,
ctldl.windowsupdate.com,163,,,,
dmd.metaservices.microsoft.com,34,,,,
download.windowsupdate.com,271,,,,
fe2.update.microsoft.com,590,,,,
fe2.ws.microsoft.com,170,,,,
finance.services.appex.bing.com,22,,,,
foodanddrink.tile.appex.bing.com,18,,,,
fr-fr.appex-rf.msn.com,42,,,,
go.microsoft.com,359,,,,
img.s-msn.com,25,,,,
img.stb.s-msn.com,23,,,,
isatap,663,,,,
login.live.com,101,,,,
next-services.apps.microsoft.com,434,,,,
ocsp.comodoca.com,15,,,,
ocsp.digicert.com,100,,,,
ocsp.usertrust.com,40,,,,
service.weather.microsoft.com,19,,,,
sls.update.microsoft.com,225,,,,
sqm.telemetry.microsoft.com,172,,,,
statsfe2.update.microsoft.com,240,,,,
statsfe2.ws.microsoft.com,175,,,,
time.windows.com,22,,,,
win8.ipv6.microsoft.com,63608,,,,
wpad,827,,,,
